"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "JavaScript JSX", "JSON", "CSS", "XML", "comment", "blank", "total"
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\messages\UserShellMessage.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 6, 5, 26
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\shared\MaxSizedBox.test.tsx", "TypeScript JSX", 0, 297, 0, 0, 0, 0, 0, 16, 30, 343
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\shared\MaxSizedBox.tsx", "TypeScript JSX", 0, 394, 0, 0, 0, 0, 0, 98, 56, 548
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\shared\RadioButtonSelect.tsx", "TypeScript JSX", 0, 95, 0, 0, 0, 0, 0, 33, 15, 143
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\shared\text-buffer.test.ts", "TypeScript", 969, 0, 0, 0, 0, 0, 0, 56, 99, 1124
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\shared\text-buffer.ts", "TypeScript", 1230, 0, 0, 0, 0, 0, 0, 174, 124, 1528
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\constants.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 6, 4, 16
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\contexts\OverflowContext.tsx", "TypeScript JSX", 0, 69, 0, 0, 0, 0, 0, 5, 14, 88
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\contexts\SessionContext.test.tsx", "TypeScript JSX", 0, 107, 0, 0, 0, 0, 0, 12, 14, 133
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\contexts\SessionContext.tsx", "TypeScript JSX", 0, 89, 0, 0, 0, 0, 0, 12, 19, 120
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\contexts\StreamingContext.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 5, 4, 23
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\editors\editorSettingsManager.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 5, 10, 72
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\atCommandProcessor.test.ts", "TypeScript", 659, 0, 0, 0, 0, 0, 0, 31, 66, 756
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\atCommandProcessor.ts", "TypeScript", 352, 0, 0, 0, 0, 0, 0, 42, 32, 426
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\shellCommandProcessor.test.ts", "TypeScript", 140, 0, 0, 0, 0, 0, 0, 8, 32, 180
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\shellCommandProcessor.ts", "TypeScript", 268, 0, 0, 0, 0, 0, 0, 42, 39, 349
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\hooks\slashCommandProcessor.test.ts", "TypeScript", 1100, 0, 0, 0, 0, 0, 0, 59, 150, 1309
