"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "XML", "CSS", "comment", "blank", "total"
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\index.js", "JavaScript", -15, 0, 0, 0, 0, -2, -4, -21
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\logo.svg", "XML", 0, 0, 0, -1, 0, 0, 0, -1
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\pages\ContactPage.js", "JavaScript", -337, 0, 0, 0, 0, -1, -18, -356
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\pages\GalleryItems.json", "JSON", 0, 0, 0, 0, 0, 0, -1, -1
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\pages\GalleryPage.js", "JavaScript", -403, 0, 0, 0, 0, 0, -20, -423
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\pages\GalleryPage.jsx", "JavaScript JSX", 0, -268, 0, 0, 0, -16, -30, -314
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\pages\ProjectGallery.jsx", "JavaScript JSX", 0, -88, 0, 0, 0, -7, -10, -105
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\pages\ProjectPage.js", "JavaScript", -187, 0, 0, 0, 0, -3, -10, -200
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\pages\TestimonialsPage.js", "JavaScript", -988, 0, 0, 0, 0, -11, -35, -1034
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\reportWebVitals.js", "JavaScript", -12, 0, 0, 0, 0, 0, -2, -14
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\serviceWorker.js", "JavaScript", -56, 0, 0, 0, 0, -6, -7, -69
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\serviceWorkerRegistration.js", "JavaScript", -88, 0, 0, 0, 0, -9, -8, -105
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\setupTests.js", "JavaScript", -1, 0, 0, 0, 0, -4, -1, -6
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\socketIo\SocketProvider.js", "JavaScript", -233, 0, 0, 0, 0, -21, -42, -296
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\socketIo\components\ChatBubble.js", "JavaScript", -62, 0, 0, 0, 0, -1, -7, -70
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\socketIo\components\ChatWindow.js", "JavaScript", -813, 0, 0, 0, 0, -33, -54, -900
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\socketIo\socket.js", "JavaScript", -16, 0, 0, 0, 0, 0, -6, -22
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\theme\theme.js", "JavaScript", -77, 0, 0, 0, 0, 0, -1, -78
"Total", "-", -9561, -546, -539, -1, -848, -546, -857, -12898
